MaPhim,NgayPhatHanh,NamPhatHanh,DiemDanhGiaTB,SoLuotDanhGia,DuSoLuotDanhGia,DoPhoBien,ThoiLuong,ThoiLuongAPI,ThoiLuongPhanTich,NguonThoiLuong,NganSach,NganSachAPI,NganSachPhanTich,NguonNganSach,DoanhThu,DoanhThuAPI,DoanhThuPhanTich,NguonDoanhThu,LoiNhuan,TySuatDoanhThuNganSach,CoThoiLuong,CoNganSach,CoDoanhThu,ThoiLuongBatThuong,NhomDiemDanhGia,NhomDoPhoBien,NhomThoiLuong,NhomDoanhThu
419704,2019-09-17,2019,6.1,6143,True,11.084,123.0,,123,Gốc,87500000.0,,87500000,Gốc,127461872.0,,127461872,Gốc,39961872,1.4567071085714285,True,True,True,False,Thap,Thap,Dai,Cao
38575,2010-06-10,2010,6.527,5545,True,49.169,140.0,,140,Gốc,40000000.0,,40000000,Gốc,359126022.0,,359126022,Gốc,319126022,8.97815055,True,True,True,False,Trung binh,Cao,Dai,Cao
373571,2019-05-29,2019,6.674,5479,True,53.983,132.0,,132,Gốc,170000000.0,,170000000,Gốc,386600138.0,,386600138,Gốc,216600138,2.2741184588235295,True,True,True,False,Trung binh,Cao,Dai,Cao
324668,2016-07-27,2016,6.329,5362,True,28.778,123.0,,123,Gốc,120000000.0,,120000000,Gốc,415484914.0,,415484914,Gốc,295484914,3.4623742833333333,True,True,True,False,Thap,Cao,Dai,Cao
140300,2016-01-23,2016,6.878,5327,True,45.002,95.0,,95,Gốc,145000000.0,,145000000,Gốc,521170825.0,,521170825,Gốc,376170825,3.594281551724138,True,True,True,False,Trung binh,Cao,Ngan,Cao
157353,2014-04-16,2014,6.029,5102,True,20.628,119.0,,119,Gốc,100000000.0,,100000000,Gốc,103039258.0,,103039258,Gốc,3039258,1.03039258,True,True,True,False,Thap,Trung binh,Trung binh,Cao
311324,2016-12-16,2016,6.005,4748,True,32.601,103.0,,103,Gốc,150000000.0,,150000000,Gốc,331957105.0,,331957105,Gốc,181957105,2.213047366666667,True,True,True,False,Thap,Cao,Ngan,Cao
453405,2019-10-02,2019,6.311,4718,True,23.667,117.0,,117,Gốc,140000000.0,,140000000,Gốc,173469516.0,,173469516,Gốc,33469516,1.2390679714285715,True,True,True,False,Thap,Cao,Trung binh,Cao
338762,2020-03-05,2020,6.76,4681,True,29.852,110.0,,110,Gốc,42000000.0,,42000000,Gốc,39861118.0,,39861118,Gốc,-2138882,0.949074238095238,True,True,True,False,Trung binh,Cao,Trung binh,Trung binh
290859,2019-10-23,2019,6.455,4652,True,39.447,128.0,,128,Gốc,185000000.0,,185000000,Gốc,261119292.0,,261119292,Gốc,76119292,1.4114556324324323,True,True,True,False,Trung binh,Cao,Dai,Cao
290595,2016-04-06,2016,6.288,4573,True,23.024,114.0,,114,Gốc,115000000.0,,115000000,Gốc,164989338.0,,164989338,Gốc,49989338,1.4346898956521739,True,True,True,False,Thap,Trung binh,Trung binh,Cao
343611,2016-10-19,2016,5.945,4489,True,57.904,118.0,,118,Gốc,60000000.0,,60000000,Gốc,162146076.0,,162146076,Gốc,102146076,2.7024346,True,True,True,False,Thap,Cao,Trung binh,Cao
479455,2019-06-12,2019,5.937,4478,True,24.845,115.0,,115,Gốc,110000000.0,,110000000,Gốc,253890701.0,,253890701,Gốc,143890701,2.3080972818181817,True,True,True,False,Thap,Cao,Trung binh,Cao
369885,2016-11-17,2016,6.8,4251,True,13.298,124.0,,124,Gốc,85000000.0,,85000000,Gốc,119520023.0,,119520023,Gốc,34520023,1.4061179176470588,True,True,True,False,Trung binh,Thap,Dai,Cao
1735,2008-07-01,2008,5.469,4121,True,34.964,112.0,,112,Gốc,145000000.0,,145000000,Gốc,403449830.0,,403449830,Gốc,258449830,2.782412620689655,True,True,True,False,Thap,Cao,Trung binh,Cao
387426,2017-06-28,2017,7.389,3999,True,18.143,122.0,,122,Gốc,50000000.0,,50000000,Gốc,,,,Không có,,,True,True,False,False,Trung binh,Trung binh,Dai,nan
639933,2022-04-07,2022,7.1,3589,True,53.571,137.0,,137,Gốc,70000000.0,,70000000,Gốc,69633110.0,,69633110,Gốc,-366890,0.9947587142857143,True,True,True,False,Trung binh,Cao,Dai,Trung binh
522938,2019-09-19,2019,6.521,3535,True,46.016,89.0,,89,Gốc,50000000.0,,50000000,Gốc,91490353.0,,91490353,Gốc,41490353,1.82980706,True,True,True,False,Trung binh,Cao,Ngan,Cao
14756,2008-12-12,2008,7.8,3444,True,14.247,106.0,,106,Gốc,11715578.0,,11715578,Gốc,22108789.0,,22108789,Gốc,10393211,1.887127463962939,True,True,True,False,Cao,Thap,Trung binh,Trung binh
396371,2017-12-07,2017,7.154,3432,True,16.556,140.0,,140,Gốc,30000000.0,,30000000,Gốc,59284015.0,,59284015,Gốc,29284015,1.9761338333333334,True,True,True,False,Trung binh,Trung binh,Dai,Trung binh
11423,2003-05-02,2003,8.066,3351,True,29.117,131.0,,131,Gốc,2800000.0,,2800000,Gốc,26000000.0,,26000000,Gốc,23200000,9.285714285714286,True,True,True,False,Cao,Cao,Dai,Trung binh
290098,2016-06-01,2016,8.246,3299,True,55.173,145.0,,145,Gốc,8575000.0,,8575000,Gốc,38600000.0,,38600000,Gốc,30025000,4.501457725947522,True,True,True,False,Cao,Cao,Dai,Trung binh
458576,2020-12-03,2020,6.647,3023,True,40.804,104.0,,104,Gốc,60000000.0,,60000000,Gốc,42145959.0,,42145959,Gốc,-17854041,0.70243265,True,True,True,False,Trung binh,Cao,Ngan,Trung binh
146,2000-07-06,2000,7.409,2914,True,25.021,120.0,,120,Gốc,17000000.0,,17000000,Gốc,213525736.0,,213525736,Gốc,196525736,12.560337411764706,True,True,True,False,Trung binh,Cao,Trung binh,Cao
516486,2020-07-10,2020,7.419,2571,True,23.324,91.0,,91,Gốc,50300000.0,,50300000,Gốc,,,,Không có,,,True,True,False,False,Trung binh,Trung binh,Ngan,nan
1255,2006-07-27,2006,6.982,2520,True,23.431,119.0,,119,Gốc,11000000.0,,11000000,Gốc,88489643.0,,88489643,Gốc,77489643,8.044513,True,True,True,False,Trung binh,Cao,Trung binh,Cao
2044,2006-06-16,2006,6.989,2507,True,21.061,99.0,,99,Gốc,40000000.0,,40000000,Gốc,114830111.0,,114830111,Gốc,74830111,2.870752775,True,True,True,False,Trung binh,Trung binh,Ngan,Cao
9470,2004-02-10,2004,7.404,2504,True,32.128,99.0,,99,Gốc,20000000.0,,20000000,Gốc,102034104.0,,102034104,Gốc,82034104,5.1017052,True,True,True,False,Trung binh,Cao,Ngan,Cao
379149,2017-09-28,2017,6.965,2389,True,43.205,113.0,,113,Gốc,35000000.0,,35000000,Gốc,145374099.0,,145374099,Gốc,110374099,4.153545685714286,True,True,True,False,Trung binh,Cao,Trung binh,Cao
68737,2014-12-12,2014,5.492,2358,True,30.928,102.0,,102,Gốc,95000000.0,,95000000,Gốc,114178613.0,,114178613,Gốc,19178613,1.2018801368421053,True,True,True,False,Thap,Cao,Ngan,Cao
365942,2017-01-26,2017,7.1,2317,True,13.85,121.0,,121,Gốc,30000000.0,,30000000,Gốc,14793385.0,,14793385,Gốc,-15206615,0.49311283333333333,True,True,True,False,Trung binh,Thap,Dai,Thap
49797,2010-08-12,2010,7.802,2257,True,24.682,144.0,,144,Gốc,,,,Không có,,,,Không có,,,True,False,False,False,Cao,Cao,Dai,nan
325348,2015-09-12,2015,6.382,2211,True,19.836,96.0,,96,Gốc,2000000.0,,2000000,Gốc,14333790.0,,14333790,Gốc,12333790,7.166895,True,True,True,False,Thap,Trung binh,Ngan,Thap
581392,2020-07-15,2020,6.8,2164,True,30.117,115.0,,115,Gốc,17000000.0,,17000000,Gốc,42698327.0,,42698327,Gốc,25698327,2.511666294117647,True,True,True,False,Trung binh,Cao,Trung binh,Trung binh
257088,2015-12-03,2015,5.921,2125,True,22.607,113.0,,113,Gốc,105000000.0,,105000000,Gốc,133718711.0,,133718711,Gốc,28718711,1.2735115333333333,True,True,True,False,Thap,Trung binh,Trung binh,Cao
37472,2010-04-29,2010,7.5,2058,True,4.28,108.0,,108,Gốc,12902809.0,,12902809,Gốc,36000000.0,,36000000,Gốc,23097191,2.790090126886324,True,True,True,False,Cao,Thap,Trung binh,Trung binh
615656,2023-08-02,2023,6.912,2034,True,1567.273,116.0,,116,Gốc,129000000.0,,129000000,Gốc,384056482.0,,384056482,Gốc,255056482,2.977182031007752,True,True,True,False,Trung binh,Cao,Trung binh,Cao
79,2002-07-22,2002,7.509,2032,True,21.472,99.0,,99,Gốc,31000000.0,,31000000,Gốc,177394432.0,,177394432,Gốc,146394432,5.722401032258064,True,True,True,False,Cao,Trung binh,Ngan,Cao
347375,2018-08-16,2018,6.198,2022,True,19.766,95.0,,95,Gốc,35000000.0,,35000000,Gốc,66308758.0,,66308758,Gốc,31308758,1.8945359428571429,True,True,True,False,Thap,Trung binh,Ngan,Trung binh
399402,2018-10-19,2018,6.86,1955,True,44.024,121.0,,121,Gốc,40000000.0,,40000000,Gốc,31672678.0,,31672678,Gốc,-8327322,0.79181695,True,True,True,False,Trung binh,Cao,Dai,Trung binh
460668,2018-04-19,2018,6.41,1936,True,26.655,110.0,,110,Gốc,32000000.0,,32000000,Gốc,94539426.0,,94539426,Gốc,62539426,2.9543570625,True,True,True,False,Thap,Cao,Trung binh,Cao
339967,2017-04-06,2017,6.296,1894,True,20.733,109.0,,109,Gốc,,,,Không có,3029287.0,,3029287,Gốc,,,True,False,True,False,Thap,Trung binh,Trung binh,Thap
458594,2018-09-06,2018,6.7,1882,True,19.181,102.0,,102,Gốc,25000000.0,,25000000,Gốc,53918723.0,,53918723,Gốc,28918723,2.15674892,True,True,True,False,Trung binh,Trung binh,Ngan,Trung binh
431580,2019-09-19,2019,7.509,1877,True,27.909,97.0,,97,Gốc,75000000.0,,75000000,Gốc,190304772.0,,190304772,Gốc,115304772,2.53739696,True,True,True,False,Cao,Cao,Ngan,Cao
437557,2018-03-14,2018,6.3,1859,True,18.51,102.0,,102,Gốc,21000000.0,,21000000,Gốc,94017294.0,,94017294,Gốc,73017294,4.477014,True,True,True,False,Thap,Trung binh,Ngan,Cao
10027,2005-02-02,2005,6.903,1844,True,20.876,103.0,,103,Gốc,45000000.0,,45000000,Gốc,50871113.0,,50871113,Gốc,5871113,1.1304691777777778,True,True,True,False,Trung binh,Trung binh,Ngan,Trung binh
449924,2019-12-19,2019,7.257,1766,True,11.457,107.0,,107,Gốc,52000000.0,,52000000,Gốc,176345966.0,,176345966,Gốc,124345966,3.391268576923077,True,True,True,False,Trung binh,Thap,Trung binh,Cao
395458,2017-10-26,2017,5.876,1586,True,12.968,105.0,,105,Gốc,25000000.0,,25000000,Gốc,12751667.0,,12751667,Gốc,-12248333,0.51006668,True,True,True,False,Thap,Thap,Ngan,Thap
614696,2020-06-24,2020,7.283,1570,True,24.119,98.0,,98,Gốc,6300000.0,,6300000,Gốc,13416285.0,,13416285,Gốc,7116285,2.1295690476190474,True,True,True,False,Trung binh,Cao,Ngan,Thap
365222,2015-12-24,2015,7.005,1564,True,18.276,105.0,,105,Gốc,36000000.0,,36000000,Gốc,157029618.0,,157029618,Gốc,121029618,4.3619338333333335,True,True,True,False,Trung binh,Trung binh,Ngan,Cao
1729,2008-04-18,2008,6.615,1542,True,31.475,104.0,,104,Gốc,55000000.0,,55000000,Gốc,127906624.0,,127906624,Gốc,72906624,2.325574981818182,True,True,True,False,Trung binh,Cao,Ngan,Cao
293670,2016-05-12,2016,7.331,1504,True,15.353,156.0,,156,Gốc,10951000.0,,10951000,Gốc,49851770.0,,49851770,Gốc,38900770,4.55225732809789,True,True,True,False,Trung binh,Trung binh,Dai,Trung binh
4550,2005-07-29,2005,7.554,1472,True,23.436,115.0,,115,Gốc,,,,Không có,23803308.0,,23803308,Gốc,,,True,False,True,False,Cao,Cao,Trung binh,Trung binh
9550,2004-05-19,2004,7.269,1459,True,19.329,119.0,,119,Gốc,15000000.0,,15000000,Gốc,92863945.0,,92863945,Gốc,77863945,6.190929666666666,True,True,True,False,Trung binh,Trung binh,Trung binh,Cao
501907,2019-09-07,2019,7.0,1447,True,18.327,109.0,,109,Gốc,25000000.0,,25000000,Gốc,67925733.0,,67925733,Gốc,42925733,2.71702932,True,True,True,False,Trung binh,Trung binh,Trung binh,Trung binh
491584,2018-05-17,2018,7.398,1407,True,15.465,148.0,,148,Gốc,7280000.0,,7280000,Gốc,6591038.0,,6591038,Gốc,-688962,0.9053623626373626,True,True,True,False,Trung binh,Trung binh,Dai,Thap
287948,2015-09-02,2015,5.507,1377,True,29.475,95.0,,95,Gốc,25000000.0,,25000000,Gốc,72629670.0,,72629670,Gốc,47629670,2.9051868,True,True,True,False,Thap,Cao,Ngan,Trung binh
316152,2016-06-24,2016,6.7,1361,True,14.529,140.0,,140,Gốc,50000000.0,,50000000,Gốc,25035950.0,,25035950,Gốc,-24964050,0.500719,True,True,True,False,Trung binh,Thap,Dai,Trung binh
522518,2019-05-03,2019,8.038,1357,True,32.243,109.0,,109,Gốc,16000000.0,,16000000,Gốc,78871079.0,,78871079,Gốc,62871079,4.9294424375,True,True,True,False,Cao,Cao,Trung binh,Trung binh
1985,2005-08-31,2005,6.979,1342,True,18.348,129.0,,129,Gốc,25000000.0,,25000000,Gốc,82468097.0,,82468097,Gốc,57468097,3.29872388,True,True,True,False,Trung binh,Trung binh,Dai,Trung binh
440471,2018-06-05,2018,5.153,1309,True,29.866,96.0,,96,Gốc,20000000.0,,20000000,Gốc,17500000.0,,17500000,Gốc,-2500000,0.875,True,True,True,False,Thap,Cao,Ngan,Thap
30018,2009-05-28,2009,7.733,1301,True,20.852,129.0,,129,Gốc,5000000.0,,5000000,Gốc,17112713.0,,17112713,Gốc,12112713,3.4225426,True,True,True,False,Cao,Trung binh,Dai,Thap
565310,2019-07-12,2019,7.436,1275,True,11.136,100.0,,100,Gốc,250300.0,,250300,Gốc,23076657.0,,23076657,Gốc,22826357,92.19599280862964,True,True,True,False,Trung binh,Thap,Ngan,Trung binh
4689,2002-03-29,2002,7.486,1271,True,17.446,129.0,,129,Gốc,4000000.0,,4000000,Gốc,1954937.0,,1954937,Gốc,-2045063,0.48873425,True,True,True,False,Cao,Trung binh,Dai,Thap
290751,2015-10-14,2015,6.386,1259,True,13.885,111.0,,111,Gốc,19500000.0,,19500000,Gốc,34854990.0,,34854990,Gốc,15354990,1.7874353846153845,True,True,True,False,Thap,Thap,Trung binh,Trung binh
300681,2018-10-25,2018,6.039,1212,True,24.022,107.0,,107,Gốc,30000000.0,,30000000,Gốc,8100000.0,,8100000,Gốc,-21900000,0.27,True,True,True,False,Thap,Cao,Trung binh,Thap
560050,2020-10-16,2020,7.238,1205,True,19.248,100.0,,100,Gốc,,,,Không có,,,,Không có,,,True,False,False,False,Trung binh,Trung binh,Ngan,nan
471506,2018-09-06,2018,6.575,1203,True,19.863,98.0,,98,Gốc,,,,Không có,,,,Không có,,,True,False,False,False,Trung binh,Trung binh,Ngan,nan
51608,2010-08-04,2010,7.7,1167,True,20.894,119.0,,119,Gốc,1255000.0,,1255000,Gốc,43059790.0,,43059790,Gốc,41804790,34.31058964143426,True,True,True,False,Cao,Trung binh,Trung binh,Trung binh
13855,2008-02-14,2008,7.775,1167,True,22.535,125.0,,125,Gốc,120456666.0,,120456666,Gốc,,,,Không có,,,True,True,False,False,Cao,Trung binh,Dai,nan
7549,2006-01-26,2006,7.485,1164,True,22.505,103.0,,103,Gốc,,,,Không có,68072848.0,,68072848,Gốc,,,True,False,True,False,Trung binh,Trung binh,Ngan,Trung binh
550205,2021-01-15,2021,7.957,1160,True,36.98,99.0,,99,Gốc,,,,Không có,25860000.0,,25860000,Gốc,,,True,False,True,False,Cao,Cao,Ngan,Trung binh
555974,2020-02-20,2020,5.984,1150,True,14.342,86.0,,86,Gốc,10000000.0,,10000000,Gốc,20311536.0,,20311536,Gốc,10311536,2.0311536,True,True,True,False,Thap,Thap,Ngan,Trung binh
423899,2017-09-13,2017,6.929,1093,True,19.175,112.0,,112,Gốc,,,,Không có,65421267.0,,65421267,Gốc,,,True,False,True,False,Trung binh,Trung binh,Trung binh,Trung binh
200085,2013-08-14,2013,7.525,1086,True,25.472,122.0,,122,Gốc,,,,Không có,19775853.0,,19775853,Gốc,,,True,False,True,False,Cao,Cao,Dai,Thap
7979,2007-12-14,2007,7.315,1063,True,13.307,128.0,,128,Gốc,20000000.0,,20000000,Gốc,73276047.0,,73276047,Gốc,53276047,3.66380235,True,True,True,False,Trung binh,Thap,Dai,Trung binh
14202,2006-12-09,2006,7.251,1060,True,15.842,125.0,,125,Gốc,19400000.0,,19400000,Gốc,26910847.0,,26910847,Gốc,7510847,1.3871570618556701,True,True,True,False,Trung binh,Trung binh,Dai,Trung binh
1280,2004-10-15,2004,7.796,1039,True,17.856,88.0,,88,Gốc,,,,Không có,3403957.0,,3403957,Gốc,,,True,False,True,False,Cao,Trung binh,Ngan,Thap
4552,2003-06-13,2003,7.105,1036,True,21.041,115.0,,115,Gốc,15050245.0,,15050245,Gốc,1062878.0,,1062878,Gốc,-13987367,0.07062197326355817,True,True,True,False,Trung binh,Trung binh,Trung binh,Thap
755812,2020-12-18,2020,8.167,1021,True,46.147,62.0,,62,Gốc,,,,Không có,,,,Không có,,,True,False,False,False,Cao,Cao,Ngan,nan
441130,2020-10-26,2020,8.249,1018,True,18.931,103.0,,103,Gốc,12000000.0,,12000000,Gốc,1266570.0,,1266570,Gốc,-10733430,0.1055475,True,True,True,False,Cao,Trung binh,Ngan,Thap
508763,2019-01-10,2019,7.339,1009,True,25.165,96.0,,96,Gốc,18000000.0,,18000000,Gốc,17643857.0,,17643857,Gốc,-356143,0.9802142777777778,True,True,True,False,Trung binh,Cao,Ngan,Thap
308504,2015-04-03,2015,6.453,999,True,11.96,115.0,,115,Gốc,40000000.0,,40000000,Gốc,3643591.0,,3643591,Gốc,-36356409,0.091089775,True,True,True,False,Trung binh,Thap,Trung binh,Thap
322240,2016-08-03,2016,5.74,988,True,16.946,87.0,,87,Gốc,30000000.0,,30000000,Gốc,57814445.0,,57814445,Gốc,27814445,1.9271481666666668,True,True,True,False,Thap,Trung binh,Ngan,Trung binh
486589,2019-07-25,2019,7.761,988,True,25.536,92.0,,92,Gốc,,,,Không có,10054356.0,,10054356,Gốc,,,True,False,True,False,Cao,Cao,Ngan,Thap
556694,2022-08-24,2022,6.944,960,True,60.041,108.0,,108,Gốc,60000000.0,,60000000,Gốc,20282422.0,,20282422,Gốc,-39717578,0.33804036666666665,True,True,True,False,Trung binh,Cao,Trung binh,Thap
113,2003-09-19,2003,7.849,954,True,20.583,103.0,,103,Gốc,,,,Không có,8945072.0,,8945072,Gốc,,,True,False,True,False,Cao,Trung binh,Ngan,Thap
412988,2018-08-22,2018,5.735,933,True,13.727,91.0,,91,Gốc,40000000.0,,40000000,Gốc,27506452.0,,27506452,Gốc,-12493548,0.6876613,True,True,True,False,Thap,Thap,Ngan,Trung binh
271404,2017-10-20,2017,5.3,928,True,7.775,105.0,,105,Gốc,20000000.0,,20000000,Gốc,992181.0,,992181,Gốc,-19007819,0.04960905,True,True,True,False,Thap,Thap,Ngan,Thap
488623,2017-11-29,2017,7.979,918,True,17.211,108.0,,108,Gốc,,,,Không có,9968972.0,,9968972,Gốc,,,True,False,True,False,Cao,Trung binh,Trung binh,Thap
581389,2021-02-05,2021,7.109,914,True,21.362,136.0,,136,Gốc,21000000.0,,21000000,Gốc,24571.0,,24571,Gốc,-20975429,0.001170047619047619,True,True,True,False,Trung binh,Trung binh,Dai,Thap
705996,2022-06-29,2022,7.408,894,True,46.48,138.0,,138,Gốc,,,,Không có,16914773.0,,16914773,Gốc,,,True,False,True,False,Trung binh,Cao,Dai,Thap
227783,2014-01-17,2014,5.8,881,True,16.425,85.0,,85,Gốc,42000000.0,,42000000,Gốc,122529966.0,,122529966,Gốc,80529966,2.9173801428571426,True,True,True,False,Thap,Trung binh,Ngan,Cao
397567,2017-12-20,2017,8.106,877,True,25.203,139.0,,139,Gốc,18300000.0,,18300000,Gốc,125983972.0,,125983972,Gốc,107683972,6.884370054644808,True,True,True,False,Cao,Cao,Dai,Cao
437068,2017-08-02,2017,8.065,837,True,15.579,138.0,,138,Gốc,12820005.0,,12820005,Gốc,81927980.0,,81927980,Gốc,69107975,6.390635573075049,True,True,True,False,Cao,Trung binh,Dai,Trung binh
615904,2022-02-09,2022,6.782,836,True,21.375,112.0,,112,Gốc,23000000.0,,23000000,Gốc,44000000.0,,44000000,Gốc,21000000,1.9130434782608696,True,True,True,False,Trung binh,Trung binh,Trung binh,Trung binh
666243,2021-08-23,2021,7.574,834,True,12.627,83.0,,83,Gốc,,,,Không có,,,,Không có,,,True,False,False,False,Cao,Thap,Ngan,nan
76544,2013-07-04,2013,6.065,828,True,16.388,105.0,,105,Gốc,25000000.0,,25000000,Gốc,2054941.0,,2054941,Gốc,-22945059,0.08219764,True,True,True,False,Thap,Trung binh,Ngan,Thap
22536,2009-04-30,2009,7.074,824,True,14.237,134.0,,134,Gốc,5000000.0,,5000000,Gốc,13085023.0,,13085023,Gốc,8085023,2.6170046,True,True,True,False,Trung binh,Thap,Dai,Thap
581528,2019-05-15,2019,7.8,815,True,43.203,110.0,,110,Gốc,6500000.0,,6500000,Gốc,25775371.0,,25775371,Gốc,19275371,3.9654416923076923,True,True,True,False,Cao,Cao,Trung binh,Trung binh
535167,2019-02-05,2019,6.569,797,True,28.833,126.0,,126,Gốc,48000000.0,,48000000,Gốc,,,,Không có,,,True,True,False,False,Trung binh,Cao,Dai,nan
844,2004-05-20,2004,7.212,783,True,16.55,128.0,,128,Gốc,12000000.0,,12000000,Gốc,20205757.0,,20205757,Gốc,8205757,1.6838130833333333,True,True,True,False,Trung binh,Trung binh,Dai,Thap
254375,2014-08-14,2014,6.738,783,True,9.616,114.0,,114,Gốc,,,,Không có,1124445.0,,1124445,Gốc,,,True,False,True,False,Trung binh,Thap,Trung binh,Thap
44865,2013-01-10,2013,6.596,778,True,19.519,130.0,,130,Gốc,3860000.0,,3860000,Gốc,64076736.0,,64076736,Gốc,60216736,16.60019067357513,True,True,True,False,Trung binh,Trung binh,Dai,Trung binh
11344,2005-04-01,2005,7.486,773,True,15.036,120.0,,120,Gốc,,,,Không có,,,,Không có,,,True,False,False,False,Cao,Thap,Trung binh,nan
480042,2019-06-20,2019,5.348,757,True,14.851,97.0,,97,Gốc,3600000.0,,3600000,Gốc,,,,Không có,,,True,True,False,False,Thap,Thap,Ngan,nan
457332,2023-07-06,2023,7.043,751,True,167.954,103.0,,103,Gốc,80000000.0,,80000000,Gốc,,,,Không có,,,True,True,False,False,Trung binh,Cao,Ngan,nan
12289,2008-07-10,2008,7.15,748,True,27.962,145.0,,145,Gốc,80341000.0,,80341000,Gốc,250100000.0,,250100000,Gốc,169759000,3.1129809188334723,True,True,True,False,Trung binh,Cao,Dai,Cao
98567,2012-12-20,2012,6.157,735,True,24.516,109.0,,109,Gốc,48000000.0,,48000000,Gốc,171339013.0,,171339013,Gốc,123339013,3.5695627708333335,True,True,True,False,Thap,Cao,Trung binh,Cao
76758,2011-12-15,2011,7.482,718,True,17.004,146.0,,146,Gốc,94000000.0,,94000000,Gốc,95311434.0,,95311434,Gốc,1311434,1.0139514255319149,True,True,True,False,Trung binh,Trung binh,Dai,Cao
523777,2018-09-07,2018,7.0,697,True,10.707,105.0,,105,Gốc,22000000.0,,22000000,Gốc,,,,Không có,,,True,True,False,False,Trung binh,Thap,Ngan,nan
